,link,title,company,Location,Salary,posted days
29,https://in.indeed.com/rc/clk?jk=254483a2a7f91f64&bb=JOFILuIZOe7VmeYom_tBM3D3d-buFL1y3jYkR_fWVwkJI36-Sn1MZQAzKKJ3ecEJ&xkcb=SoCl67M3GjBO-9wsdB0ObzkdCdPP&fccid=e233b80a86da0ac4&vjs=3,Data Scientist,iGloble Solutions,"Kalkaji Devi, Delhi",NA,PostedPosted 30+ days ago
30,https://in.indeed.com/rc/clk?jk=a53979a6344e8460&bb=pbJY4qfYxJP2gl3RdYBqdunOxQwJdKn9Howeoa7YLo_9eco__3-Z3Ee8uaw8V51P&xkcb=SoAf67M3GjBMYKAxXz0LbzkdCdPP&fccid=cb196be5fd61661b&vjs=3,AI/ML Engineer,Apping Technology,Delhi,NA,PostedPosted 30+ days ago
31,https://in.indeed.com/rc/clk?jk=fb71eb87ed849a47&bb=pbJY4qfYxJOxv0ahjxb1l6tp9NqpMzxjvg8dEx2u7CPhsz7zBbIWisnLmECZz-a3&xkcb=SoCC67M3GjBMYKAxXz0IbzkdCdPP&fccid=95d2772e604ca1c2&vjs=3,Lead Data Scientist,Naviga Inc.,"New Delhi, Delhi",NA,PostedPosted 30+ days ago
32,https://in.indeed.com/rc/clk?jk=59a177de98e35d8e&bb=pbJY4qfYxJMYx4qpedkeXKyMjbBSIf6bDfbsAHz8PnM38P5ETWXmLy1a12U1DpZ9&xkcb=SoC467M3GjBMYKAxXz0ObzkdCdPP&fccid=4d1ce2b52f6f8920&vjs=3,Data Scientist,Marktine Technology Solutions,Delhi,"₹20,00,000 a year",PostedPosted 30+ days ago
33,https://in.indeed.com/rc/clk?jk=8f8db206c9b1ca1c&bb=flfcq4WrcmYy4l-eKismpKDvYJSQ54rP96l8I21dLXDbkhmEVcR-ffVKR7LzUQ3x&xkcb=SoDu67M3GjBMYKgxXz0KbzkdCdPP&fccid=28dd533740cf36da&vjs=3,Data Scientist,Fitfyles,"New Delhi, Delhi",NA,PostedPosted 30+ days ago
34,https://in.indeed.com/rc/clk?jk=9a5c5d4d8ba05338&bb=flfcq4WrcmYzlTBQWTqynkb5TL5HQ4IN0NJrQcMKm97XDL6TKz6WB9dsFaL4NN1o&xkcb=SoDH67M3GjBMYKgxXz0IbzkdCdPP&fccid=c29cde9509ea6817&vjs=3,AI/ML Data Scientist (Telecoms),MBR Partners,"New Delhi, Delhi",NA,PostedPosted 30+ days ago
35,https://in.indeed.com/rc/clk?jk=62dc52fa1a172e6d&bb=bwDHgqIjAOySM7wOgO6ht08puOr-TWYad-4baqKmz-6jERtoqB6G45H4VYgQhYPN&xkcb=SoD867M3GjBMZ1AxXz0LbzkdCdPP&fccid=a5cbd2514edf7804&vjs=3,Data Scientist II,Chegg,"Jasola, Delhi, Delhi",NA,PostedPosted 11 days ago
36,https://in.indeed.com/rc/clk?jk=ff2172cd2bdf059a&bb=bwDHgqIjAOzgjQXeF0HmKpDosndGXOkR9ulSqPkAA-KVB2k1HgPEq9cRGAE8xUUl&xkcb=SoDv67M3GjBMZ1AxXz0PbzkdCdPP&fccid=5c36da9694f987a9&vjs=3,Data Science,Innefu Labs Pvt. Ltd.,Delhi,NA,PostedPosted 30+ days ago
37,https://in.indeed.com/rc/clk?jk=797fd0887a0ae394&bb=bwDHgqIjAOxFPsYinKaU6rMixiOoVuy1BTc_ZhrL3FzqZIaukbu4nXmeFNAvuePq&xkcb=SoDG67M3GjBMZ1AxXz0NbzkdCdPP&fccid=5ef4d3df18d56a80&vjs=3,Data Analyst/ ML Engineer,itForte,"Remote in New Delhi, Delhi",NA,PostedPosted 24 days ago
38,https://in.indeed.com/rc/clk?jk=1e0694418bd5699e&bb=bwDHgqIjAOxdWLr1-Mqj4tW_GqkjPMJmx9AMCBAvA75ib1pcOgkCz9bAJA0T06m0&xkcb=SoAv67M3GjBMZ1AxXz0CbzkdCdPP&fccid=87b972f6d2e4a78c&vjs=3,AI & Machine Learning expert,F-Trend,"New Delhi, Delhi",NA,PostedPosted 30+ days ago
39,https://in.indeed.com/rc/clk?jk=d1dd8af8f748cc6c&bb=nUGv3AamJkWXGPC0tzmEiOZPtfwcQQvBlHQxKRBt6rvEKnmRaJf-0dUoJJcHi9NW&xkcb=SoAN67M3GjBMZ1gxXz0KbzkdCdPP&fccid=270ca7c782c07a0e&vjs=3,Data Scientist,Jobsdaddy,"New Delhi, Delhi",NA,PostedPosted 30+ days ago
40,https://in.indeed.com/rc/clk?jk=c8d8e6ae5d1c6d39&bb=nUGv3AamJkVi15DSMJJkZ_sfAfhRY3epPji3QpwWP_71wZO1_pBccnhCY_QZXGJp&xkcb=SoAk67M3GjBMZ1gxXz0IbzkdCdPP&fccid=5ef4d3df18d56a80&vjs=3,Data Analyst/Scientist,itForte,"New Delhi, Delhi",NA,PostedPosted 30+ days ago
41,https://in.indeed.com/rc/clk?jk=f9e63e5b38ee4034&bb=F0LGiXguxOwUlRhls7PVFJTwJMuuC2G6AfFGncDsUaTqioCYSFOe4SdrvH9cyYGz&xkcb=SoCD67M3GjBMZ0AxXz0KbzkdCdPP&fccid=9e215d88a6b33622&vjs=3,Consulting-SAMA A&C-Generative AI,Deloitte,Delhi,NA,PostedPosted 30+ days ago
42,https://in.indeed.com/rc/clk?jk=24ad7178d83e119e&bb=F0LGiXguxOwIOgYrkLGvdhKfuOymiivUlVMgyiSQCWX-Z-Ene-SW7GwF2xDzWeyD&xkcb=SoCq67M3GjBMZ0AxXz0IbzkdCdPP&fccid=533df66aff44fd54&cmp=MISD---Management-Institute-of-Skill-Development&ti=Data+Scientist&vjs=3,Data Science Trainer,MISD - Management Institute of Skill Development,"New Delhi, Delhi","₹15,000 - ₹25,000 a month",PostedPosted 3 days ago
43,https://in.indeed.com/rc/clk?jk=45b337e3dce3fb37&bb=YxVDLaXQhwjhBFfYgB_t5XhNhX-vaL9V4gb3EMtUOnn255mFHYNsV7uGdn-8jdze&xkcb=SoBy67M3GjBMZ0gxXz0LbzkdCdPP&fccid=f0ed4138e91ebe2c&cmp=Mapcom-info-Solution-Limited&ti=Data+Scientist&vjs=3,Trainer - Data Science & Artificial Intelligence,Mapcom info Solution Limited,"Delhi, Delhi","₹20,000 - ₹30,000 a month",EmployerActive 23 days ago
44,https://in.indeed.com/rc/clk?jk=80febc24af65846e&bb=YxVDLaXQhwjsJB-13fUVyc2RDqUQ9BXtdFkxenYiVMZxBSBQgFrsred7H48fNgxO&xkcb=SoBb67M3GjBMZ0gxXz0JbzkdCdPP&fccid=23545558e1049d87&vjs=3,Data Science Engineer,Consilium Software,"New Delhi, Delhi",NA,PostedPosted 30+ days ago
45,https://in.indeed.com/rc/clk?jk=c33fe81565e1280a&bb=R90RtBVj4QiVEuhnyT1-eY07-DkFCSQN-CbptUmJwVsmt-eU-vm5jtkImQ6p78s1&xkcb=SoBT67M3GjBJ2iAH-70LbzkdCdPP&fccid=f2891f3561dc949c&cmp=Acadally&ti=Senior+Engineer&vjs=3,Senior Artificial intelligence (AI) Engineer,AcadAlly,"Delhi, Delhi","₹10,00,000 - ₹16,00,000 a year",EmployerActive 11 days ago
46,https://in.indeed.com/rc/clk?jk=68043d8ecca9347f&bb=R90RtBVj4QgVa6A6GIhTtv5Zv-31ISEIziaEGmdT2YjvwQ-troien1q8TG_pzoWk&xkcb=SoCi67M3GjBJ2igH-70KbzkdCdPP&fccid=87bb0bbd8857f57d&vjs=3,Solution Architect - Deep Learning,CCS Computers,Delhi,NA,PostedPosted 30+ days ago
47,https://in.indeed.com/rc/clk?jk=0d7a31b9cbfd9349&bb=kobfbIyt_PHPORtiArC4YQF6iKqkVQUO1OXGtXWL7pwD9VjDjKMQ5INLrf0HoaiN&xkcb=SoCL67M3GjBJ2tAH-70KbzkdCdPP&fccid=7356e762fd5eff0b&vjs=3,Data Scientist,Purview Services,Delhi,NA,PostedPosted 30+ days ago
48,https://in.indeed.com/rc/clk?jk=6e92094e796f030c&bb=kobfbIyt_PGekI0l-zZJa83dx7kboGyyVtN4RRwg0vykfYANdyx92UR4ncuu7TDH&xkcb=SoCi67M3GjBJ2tAH-70IbzkdCdPP&fccid=0a66f90fab2ee166&vjs=3,Research Intern - Climate Resilience,"Council on Energy, Environment and Water","New Delhi, Delhi",NA,PostedPosted 30+ days ago
49,https://in.indeed.com/rc/clk?jk=36b754a0f6c6d577&bb=kobfbIyt_PG790oJGrBQRDWgjuGd3jr-GQr_ylMO-SkyLtwHX400EZQhlwcdK2sL&xkcb=SoCY67M3GjBJ2tAH-70ObzkdCdPP&fccid=e4615befce7944b8&vjs=3,Data Science & Analytic,CODEC Networks,"Delhi, Delhi",NA,PostedPosted 30+ days ago
50,https://in.indeed.com/rc/clk?jk=bdefdf181664b424&bb=DSQ_ubbk29BUzJqhaZnjIVaSXzuURtC5Z0zuF_5fj1-dECb2akOWsVIgu_MHs7y0&xkcb=SoDO67M3GjBJ2tgH-70KbzkdCdPP&fccid=49b7b2ce845ef5d7&vjs=3,Data Analyst,Growth Hub Consultants,"New Delhi, Delhi",NA,PostedPosted 6 days ago
51,https://in.indeed.com/rc/clk?jk=28deeda8b1f60510&bb=DSQ_ubbk29Bzc4_mht3McP0h9SvIeD7YcBmO22KBpnlzzoPK_yCVd9Ohq61e-0eY&xkcb=SoBA67M3GjBJ2tgH-70NbzkdCdPP&fccid=8d8b6936644ec093&vjs=3,MACHINE LEARNING SCIENTIST (HEALTHCARE),KnowDis,"New Delhi, Delhi",NA,PostedPosted 30+ days ago
52,https://in.indeed.com/rc/clk?jk=1dd670620f075f2d&bb=DSQ_ubbk29D3paK9_FYa3bLrB0DL0F1AE7fYXwRZItOxi4ppSit11NGr3tcWIfL2&xkcb=SoAd67M3GjBJ2tgH-70DbzkdCdPP&fccid=19172efe49cee0b2&vjs=3,NLP,Women Entrepreneur Network,Delhi,"₹15,00,000 - ₹16,00,000 a year",PostedPosted 30+ days ago
